A_macrophytes_site_discharge_lpers	A_macrophytes_site_waterdepth_m	A_macrophytes_site_slope_percent	A_macrophytes_site_coarsegravel_percent	A_macrophytes_site_shading_percent	A_macrophytes_rivertypescheme_index	A_macrophytes_rivertypescheme_class	A_macrophytes_rivertypeval_class	A_macrophytes_rivertypegrfo_class
1_2	2_3	1_2	1_2	1_2	11	L_macrophytes_rivertype_class_smallsubmerged	L_macrophytes_rivertype_class_smallsubmerged	L_macrophytes_rivertype_class_submerse
2_3	2_3	1_2	1_3	1_2	21	L_macrophytes_rivertype_class_mediumsubmerged	L_macrophytes_rivertype_class_mediumsubmerged	L_macrophytes_rivertype_class_submerse
3_4	2_3	1_2	1_3	1_2	31	L_macrophytes_rivertype_class_largesubmerged	L_macrophytes_rivertype_class_largesubmerged	L_macrophytes_rivertype_class_submerse
4_5	2_3	1_2	1_4	1_2	41	L_macrophytes_rivertype_class_verylargesubmerged	L_macrophytes_rivertype_class_verylargesubmerged	L_macrophytes_rivertype_class_submerse
1_2	2_3	2_3	1_2	1_2	12	L_macrophytes_rivertype_class_smallsubmergedhelophyte	L_macrophytes_rivertype_class_smallsubmerged,L_macrophytes_rivertype_class_smallhelophyte	L_macrophytes_rivertype_class_helophyte,L_macrophytes_rivertype_class_submerse
1_2	1_2	1_2	1_2	1_2	12	L_macrophytes_rivertype_class_smallsubmergedhelophyte	L_macrophytes_rivertype_class_smallsubmerged,L_macrophytes_rivertype_class_smallhelophyte	L_macrophytes_rivertype_class_helophyte,L_macrophytes_rivertype_class_submerse
2_3	2_3	2_3	1_3	1_2	22	L_macrophytes_rivertype_class_mediumsubmergedhelophyte	L_macrophytes_rivertype_class_mediumsubmerged,L_macrophytes_rivertype_class_mediumhelophyte	L_macrophytes_rivertype_class_submerse,L_macrophytes_rivertype_class_helophyte
2_3	1_2	1_2	1_3	1_2	22	L_macrophytes_rivertype_class_mediumsubmergedhelophyte	L_macrophytes_rivertype_class_mediumsubmerged,L_macrophytes_rivertype_class_mediumhelophyte	L_macrophytes_rivertype_class_submerse,L_macrophytes_rivertype_class_helophyte
1_2	1_2	2_3	1_2	1_2	13	L_macrophytes_rivertype_class_smallhelophyte	L_macrophytes_rivertype_class_smallhelophyte	L_macrophytes_rivertype_class_helophyte
2_3	1_2	2_3	1_3	1_2	23	L_macrophytes_rivertype_class_mediumhelophyte	L_macrophytes_rivertype_class_mediumhelophyte	L_macrophytes_rivertype_class_helophyte
1_2	1_2	1_2	2_5	1_2	14	L_macrophytes_rivertype_class_smallhelophytebryophyte	L_macrophytes_rivertype_class_smallhelophytebryophyte	L_macrophytes_rivertype_class_submerse,L_macrophytes_rivertype_class_helophyte,L_macrophytes_rivertype_class_bryophyte
1_2	2_3	1_2	2_5	1_2	14	L_macrophytes_rivertype_class_smallhelophytebryophyte	L_macrophytes_rivertype_class_smallhelophytebryophyte	L_macrophytes_rivertype_class_submerse,L_macrophytes_rivertype_class_bryophyte
1_2	1_2	2_3	2_5	1_2	14	L_macrophytes_rivertype_class_smallhelophytebryophyte	L_macrophytes_rivertype_class_smallhelophytebryophyte	L_macrophytes_rivertype_class_helophyte,L_macrophytes_rivertype_class_bryophyte
1_2	2_3	2_3	2_5	1_2	14	L_macrophytes_rivertype_class_smallhelophytebryophyte	L_macrophytes_rivertype_class_smallhelophytebryophyte	L_macrophytes_rivertype_class_submerse,L_macrophytes_rivertype_class_helophyte,L_macrophytes_rivertype_class_bryophyte
2_3	1_2	1_2	3_5	1_2	24	L_macrophytes_rivertype_class_mediumhelophytebryophyte	L_macrophytes_rivertype_class_mediumhelophytebryophyte	L_macrophytes_rivertype_class_submerse,L_macrophytes_rivertype_class_helophyte,L_macrophytes_rivertype_class_bryophyte
2_3	2_3	1_2	3_5	1_2	24	L_macrophytes_rivertype_class_mediumhelophytebryophyte	L_macrophytes_rivertype_class_mediumhelophytebryophyte	L_macrophytes_rivertype_class_submerse,L_macrophytes_rivertype_class_bryophyte
2_3	1_2	2_3	3_5	1_2	24	L_macrophytes_rivertype_class_mediumhelophytebryophyte	L_macrophytes_rivertype_class_mediumhelophytebryophyte	L_macrophytes_rivertype_class_helophyte,L_macrophytes_rivertype_class_bryophyte
2_3	2_3	2_3	3_5	1_2	24	L_macrophytes_rivertype_class_mediumhelophytebryophyte	L_macrophytes_rivertype_class_mediumhelophytebryophyte	L_macrophytes_rivertype_class_submerse,L_macrophytes_rivertype_class_helophyte,L_macrophytes_rivertype_class_bryophyte
1_2	1_2	1_2	2_5	2_3	15	L_macrophytes_rivertype_class_smallbryophyte	L_macrophytes_rivertype_class_smallbryophyte	L_macrophytes_rivertype_class_bryophyte
1_2	2_3	1_2	2_5	2_3	15	L_macrophytes_rivertype_class_smallbryophyte	L_macrophytes_rivertype_class_smallbryophyte	L_macrophytes_rivertype_class_bryophyte
1_2	1_2	2_3	2_5	2_3	15	L_macrophytes_rivertype_class_smallbryophyte	L_macrophytes_rivertype_class_smallbryophyte	L_macrophytes_rivertype_class_bryophyte
1_2	2_3	2_3	2_5	2_3	15	L_macrophytes_rivertype_class_smallbryophyte	L_macrophytes_rivertype_class_smallbryophyte	L_macrophytes_rivertype_class_bryophyte
1_2	1_2	3_4	2_5	2_3	15	L_macrophytes_rivertype_class_smallbryophyte	L_macrophytes_rivertype_class_smallbryophyte	L_macrophytes_rivertype_class_bryophyte
1_2	2_3	3_4	2_5	2_3	15	L_macrophytes_rivertype_class_smallbryophyte	L_macrophytes_rivertype_class_smallbryophyte	L_macrophytes_rivertype_class_bryophyte
2_3	1_2	1_2	3_5	2_3	25	L_macrophytes_rivertype_class_mediumbryophyte	L_macrophytes_rivertype_class_mediumbryophyte	L_macrophytes_rivertype_class_bryophyte
2_3	2_3	1_2	3_5	2_3	25	L_macrophytes_rivertype_class_mediumbryophyte	L_macrophytes_rivertype_class_mediumbryophyte	L_macrophytes_rivertype_class_bryophyte
2_3	1_2	2_3	3_5	2_3	25	L_macrophytes_rivertype_class_mediumbryophyte	L_macrophytes_rivertype_class_mediumbryophyte	L_macrophytes_rivertype_class_bryophyte
2_3	2_3	2_3	3_5	2_3	25	L_macrophytes_rivertype_class_mediumbryophyte	L_macrophytes_rivertype_class_mediumbryophyte	L_macrophytes_rivertype_class_bryophyte
2_3	1_2	3_4	3_5	2_3	25	L_macrophytes_rivertype_class_mediumbryophyte	L_macrophytes_rivertype_class_mediumbryophyte	L_macrophytes_rivertype_class_bryophyte
2_3	2_3	3_4	3_5	2_3	25	L_macrophytes_rivertype_class_mediumbryophyte	L_macrophytes_rivertype_class_mediumbryophyte	L_macrophytes_rivertype_class_bryophyte
3_4	1_2	1_2	3_5	2_3	35	L_macrophytes_rivertype_class_largebryophyte	L_macrophytes_rivertype_class_largebryophyte	L_macrophytes_rivertype_class_bryophyte
3_4	2_3	1_2	3_5	2_3	35	L_macrophytes_rivertype_class_largebryophyte	L_macrophytes_rivertype_class_largebryophyte	L_macrophytes_rivertype_class_bryophyte
3_4	1_2	2_3	3_5	2_3	35	L_macrophytes_rivertype_class_largebryophyte	L_macrophytes_rivertype_class_largebryophyte	L_macrophytes_rivertype_class_bryophyte
3_4	2_3	2_3	3_5	2_3	35	L_macrophytes_rivertype_class_largebryophyte	L_macrophytes_rivertype_class_largebryophyte	L_macrophytes_rivertype_class_bryophyte
3_4	1_2	3_4	3_5	2_3	35	L_macrophytes_rivertype_class_largebryophyte	L_macrophytes_rivertype_class_largebryophyte	L_macrophytes_rivertype_class_bryophyte
3_4	2_3	3_4	3_5	2_3	35	L_macrophytes_rivertype_class_largebryophyte	L_macrophytes_rivertype_class_largebryophyte	L_macrophytes_rivertype_class_bryophyte
4_5	1_2	1_2	4_5	2_3	45	L_macrophytes_rivertype_class_verylargebryophyte	L_macrophytes_rivertype_class_verylargebryophyte	L_macrophytes_rivertype_class_bryophyte
4_5	2_3	1_2	4_5	2_3	45	L_macrophytes_rivertype_class_verylargebryophyte	L_macrophytes_rivertype_class_verylargebryophyte	L_macrophytes_rivertype_class_bryophyte
4_5	1_2	2_3	4_5	2_3	45	L_macrophytes_rivertype_class_verylargebryophyte	L_macrophytes_rivertype_class_verylargebryophyte	L_macrophytes_rivertype_class_bryophyte
4_5	2_3	2_3	4_5	2_3	45	L_macrophytes_rivertype_class_verylargebryophyte	L_macrophytes_rivertype_class_verylargebryophyte	L_macrophytes_rivertype_class_bryophyte
4_5	1_2	3_4	4_5	2_3	45	L_macrophytes_rivertype_class_verylargebryophyte	L_macrophytes_rivertype_class_verylargebryophyte	L_macrophytes_rivertype_class_bryophyte
4_5	2_3	3_4	4_5	2_3	45	L_macrophytes_rivertype_class_verylargebryophyte	L_macrophytes_rivertype_class_verylargebryophyte	L_macrophytes_rivertype_class_bryophyte
1_2	1_2	1_2	1_2	2_3	16	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
1_2	2_3	1_2	1_2	2_3	16	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
1_2	1_2	2_3	1_2	2_3	16	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
1_2	2_3	2_3	1_2	2_3	16	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
1_2	1_2	3_4	1_2	2_3	16	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
1_2	2_3	3_4	1_2	2_3	16	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
1_2	1_2	3_4	1_2	1_2	17	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
1_2	2_3	3_4	1_2	1_2	17	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
1_2	1_2	3_4	2_5	1_2	17	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
1_2	2_3	3_4	2_5	1_2	17	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
2_3	1_2	1_2	1_3	2_3	26	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
2_3	2_3	1_2	1_3	2_3	26	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
2_3	1_2	2_3	1_3	2_3	26	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
2_3	2_3	2_3	1_3	2_3	26	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
2_3	1_2	3_4	1_3	2_3	26	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
2_3	2_3	3_4	1_3	2_3	26	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
2_3	1_2	3_4	1_3	1_2	27	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
2_3	2_3	3_4	1_3	1_2	27	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
2_3	1_2	3_4	3_5	1_2	27	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
2_3	2_3	3_4	3_5	1_2	27	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
3_4	1_2	1_2	1_3	1_2	32	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
3_4	1_2	2_3	1_3	1_2	33	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
3_4	2_3	2_3	1_3	1_2	33	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
3_4	1_2	1_2	3_5	1_2	34	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
3_4	2_3	1_2	3_5	1_2	34	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
