A_macrophytes_site_discharge_lpers	A_macrophytes_site_waterdepth_m	A_macrophytes_site_slope_percent	A_macrophytes_site_coarsegravel_percent	A_macrophytes_site_shading_percent	A_macrophytes_rivertypescheme_index	A_macrophytes_rivertypescheme_class	A_macrophytes_rivertypeval_class	A_macrophytes_rivertypegrfo_class
3_4	1_2	2_3	3_5	1_2	34	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
3_4	2_3	2_3	3_5	1_2	34	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
3_4	1_2	1_2	1_3	2_3	36	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
3_4	2_3	1_2	1_3	2_3	36	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
3_4	1_2	2_3	1_3	2_3	36	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
3_4	2_3	2_3	1_3	2_3	36	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
3_4	1_2	3_4	1_3	2_3	36	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
3_4	2_3	3_4	1_3	2_3	36	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
3_4	1_2	3_4	1_3	1_2	37	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
3_4	2_3	3_4	1_3	1_2	37	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
3_4	1_2	3_4	3_5	1_2	37	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
3_4	2_3	3_4	3_5	1_2	37	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
4_5	1_2	1_2	1_4	1_2	42	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
4_5	2_3	2_3	1_4	1_2	42	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
4_5	1_2	2_3	1_4	1_2	43	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
4_5	1_2	1_2	4_5	1_2	44	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
4_5	2_3	1_2	4_5	1_2	44	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
4_5	1_2	2_3	4_5	1_2	44	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
4_5	2_3	2_3	4_5	1_2	44	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
4_5	1_2	1_2	1_4	2_3	46	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
4_5	2_3	1_2	1_4	2_3	46	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
4_5	1_2	2_3	1_4	2_3	46	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
4_5	2_3	2_3	1_4	2_3	46	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
4_5	1_2	3_4	1_4	2_3	46	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
4_5	2_3	3_4	1_4	2_3	46	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
4_5	1_2	3_4	1_4	1_2	47	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
4_5	2_3	3_4	1_4	1_2	47	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
4_5	1_2	3_4	4_5	1_2	47	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
4_5	2_3	3_4	4_5	1_2	47	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg	L_macrophytes_rivertype_class_poorveg
5_6	2_3	1_2	1_4	1_2	51	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	1_2	1_2	1_4	1_2	52	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	2_3	2_3	1_4	1_2	52	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	1_2	2_3	1_4	1_2	53	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	1_2	1_2	4_5	1_2	54	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	2_3	1_2	4_5	1_2	54	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	1_2	2_3	4_5	1_2	54	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	2_3	2_3	4_5	1_2	54	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	1_2	1_2	4_5	2_3	55	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	2_3	1_2	4_5	2_3	55	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	1_2	2_3	4_5	2_3	55	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	2_3	2_3	4_5	2_3	55	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	1_2	3_4	4_5	2_3	55	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	2_3	3_4	4_5	2_3	55	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	1_2	1_2	1_4	2_3	56	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	2_3	1_2	1_4	2_3	56	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	1_2	2_3	1_4	2_3	56	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	2_3	2_3	1_4	2_3	56	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	1_2	3_4	1_4	2_3	56	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	2_3	3_4	1_4	2_3	56	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	1_2	3_4	1_4	1_2	57	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	2_3	3_4	1_4	1_2	57	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	1_2	3_4	4_5	1_2	57	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
5_6	2_3	3_4	4_5	1_2	57	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large	L_macrophytes_rivertype_class_large
