A_macrophytes_species_number_msk	A_macrophytes_species_name_taxalistch	A_macrophytes_species_name_latin	A_macrophytes_taxalist_taxagroups	A_macrophytes_taxalist_taxagroups_assign	A_macrophytes_taxalist_growthform_assess_twoforms_grfo	A_macrophytes_taxalist_growthform_assess_twoforms_grfoval	A_macrophytes_taxalist_growthform	A_macrophytes_taxalist_growthform_abbrev	A_macrophytes_taxalist_growthform_assess	A_macrophytes_taxalist_conservationinfo	A_macrophytes_taxalist_indexspecies	A_macrophytes_taxalist_priorityspecies	A_macrophytes_taxalist_redliststatuts	A_macrophytes_taxalist_determination	A_macrophytes_taxalist_determination_trait	A_macrophytes_taxalist_phenology_trait
5100	Acorus calamus L.	Acorus calamus L.					Magnomonocotyle	Mmono	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_neophyte				2		
9300	Agrostis stolonifera L. 	Agrostis stolonifera L.		30000104			Parvograminoide	Pgra	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
21600	Aldrovanda vesiculosa L.	Aldrovanda vesiculosa L.					Ceratophyllide	Cer	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	EN	2		
21700	Alisma gramineum Lej. 	Alisma gramineum Lej.		30000008			Vallisneride	Vall	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		3	EN	2		
21800	Alisma lanceolatum With.	Alisma lanceolatum With.		30000008			Sagittaride	Sag	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		3	EN	3	L_macrophytes_taxalist_determination_trait_flowers	1
21900	Alisma plantago-aquatica L.	Alisma plantago-aquatica L.		30000008			Sagittaride	Sag	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
30000080	Alisma lanceolatum oder A. plantago-aquatica (emers) 	Alisma lanceolatum oder A. plantago-aquatica	1	30000008	L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Sagittaride	Sag	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
30000081	Alisma lanceolatum oder A. plantago-aquatica (submers) 	Alisma lanceolatum oder A. plantago-aquatica	1	30000008	L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub	30000080	Vallisneride	Vall	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			2		
30000008	Alisma sp. (submers)	Alisma sp.	1		L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub		Vallisneride	Vall	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			2		
38500	Apium nodiflorum (L.) Lag.	Apium nodiflorum (L.) Lag.					Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		2	CR	2		
38600	Apium repens (Jacq.) Lag.	Apium repens (Jacq.) Lag.					Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		2	CR	2		
43800	Arenaria gothica Fr.	Arenaria gothica Fr.					Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		1	CR	2		
57750	Azolla filiculoides Lam. 	Azolla filiculoides Lam.		30000082			Lemnide	Lem	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_neophyte				4		
20000001	Azolla mexicana C. Presl 	Azolla mexicana C. Presl		30000082			Lemnide	Lem	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_neophyte				4		
30000082	Azolla sp.	Azolla sp.	1				Lemnide	Lem	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_neophyte				2		
57800	Baldellia ranunculoides (L.) Parl. 	Baldellia ranunculoides (L.) Parl.		30000008			Sagittaride	Sag	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		1	CR	2		
60000001	Berula erecta (Huds.) Coville (emers)	Berula erecta (Huds.) Coville			L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
60000002	Berula erecta (Huds.) Coville (submers)	Berula erecta (Huds.) Coville			L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub	60000001	Herbide	Herb	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			2		
62900	Bolboschoenus maritimus (L.) Palla 	Bolboschoenus maritimus (L.) Palla		30000085			Magnocyperiden	Mcyp	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		2	CR	3	L_macrophytes_taxalist_determination_trait_flowersandfruits	4
60000003	Butomus umbellatus L. (emers)	Butomus umbellatus L.			L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		Magnomonocotyle	Mmono	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	1		
60000004	Butomus umbellatus L. (submers)	Butomus umbellatus L.			L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub	60000003	Vallisneride	Vall	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
73000	Callitriche cophocarpa Sendtn.	Callitriche cophocarpa Sendtn.		30000001			Peplide	Pep	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		4	VU	3	L_macrophytes_taxalist_determination_trait_fruits	2
73100	Callitriche hamulata W. D. J. Koch	Callitriche hamulata W. D. J. Koch		30000001			Peplide	Pep	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	3			3	L_macrophytes_taxalist_determination_trait_fruits	2
73200	Callitriche obtusangula Le Gall 	Callitriche obtusangula Le Gall		30000001			Peplide	Pep	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		2	CR	3	L_macrophytes_taxalist_determination_trait_fruits	2
73300	Callitriche palustris L. 	Callitriche palustris L.		30000001			Peplide	Pep	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			3	L_macrophytes_taxalist_determination_trait_fruits	2
73400	Callitriche platycarpa Kütz.	Callitriche platycarpa Kütz.		30000001			Peplide	Pep	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_priority		4	VU	3	L_macrophytes_taxalist_determination_trait_fruits	2
73500	Callitriche stagnalis Scop.	Callitriche stagnalis Scop.		30000001			Peplide	Pep	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			3	L_macrophytes_taxalist_determination_trait_fruits	2
30000001	Callitriche sp.	Callitriche sp.	1				Peplide	Pep	L_macrophytes_taxalist_growthform_assess_aquatic	L_macrophytes_taxalist_conservationinfo_index	2			1		
78300	Cardamine amara L. s.l.	Cardamine amara L. s.l.		30000098			Herbide	Herb	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	1			3	L_macrophytes_taxalist_determination_trait_flowersorfruits	3
82850	Carex acuta L. 	Carex acuta L.		30000083			Magnocyperiden	Mcyp	L_macrophytes_taxalist_growthform_assess_helophyte	L_macrophytes_taxalist_conservationinfo_index	2			3	L_macrophytes_taxalist_determination_trait_flowersorfruits	3
